x	y	new_x	new_y	pixel_x	pixel_y
13	14	13.043	13.95	180.696727125342	195.326780828858
14	14	14.017	13.92	195.37866045192	194.859864221299
15	14	14.96	13.94	209.593677170939	195.171141959672
16	14	15.919	14.074	224.016212382207	197.194447259094
17	14	16.992	13.929	240.254534400648	195.015503090485
18	14	17.965	13.915	254.884588104165	194.807984598237
19	14	19.003	13.857	270.552234268923	193.926031006181
20	14	20.072	13.877	286.68679704124	194.237308744554
21	14	20.982	13.996	300.383017529638	196.001215928666
22	14	21.991	13.873	315.583747086838	194.185429121492
23	14	23.091	13.945	332.185226466714	195.274901205796
24	14	24.065	13.946	346.867159793292	195.274901205796
25	14	25.032	13.914	361.445333873746	194.807984598237
26	14	25.998	13.902	376.0235079542	194.600466105988
27	14	27.017	13.885	391.379876380586	194.341067990678
28	14	27.989	13.895	406.061809707164	194.496706859864
29	14	29.013	13.924	421.470057756612	194.963623467423
30	14	30.025	13.887	436.722666936873	194.39294761374
31	14	31.069	13.853	452.494072347756	193.874151383119
6	15	5.941	14.961	73.5653055020772	210.579390009119
7	15	6.94	14.951	88.6622758131523	210.423751139933
8	15	7.965	14.928	104.122403485662	210.060593778498
9	15	9.027	14.916	120.101327388793	209.904954909312
10	15	9.96	14.952	134.212584861688	210.423751139933
11	15	10.988	14.894	149.672712534198	209.541797547877
12	15	12.079	14.969	166.118553044888	210.683149255244
13	15	13.041	14.978	180.64484750228	210.83878812443
14	15	14.022	14.943	195.430540074982	210.319991893809
15	15	14.977	14.951	209.85307528625	210.423751139933
16	15	15.999	14.928	225.261323335698	210.060593778498
17	15	16.991	14.938	240.202654777586	210.216232647685
18	15	17.976	14.904	255.092106596413	209.697436417064
19	15	18.996	14.892	270.448475022799	209.541797547877
20	15	20.05	14.927	286.323639679805	210.060593778498
21	15	20.99	14.921	300.538656398825	209.956834532374
22	15	21.987	14.887	315.531867463775	209.438038301753
23	15	23.082	14.928	332.08146722059	210.060593778498
24	15	24.049	14.938	346.659641301044	210.216232647685
25	15	25.041	14.911	361.600972742932	209.801195663188
26	15	26.008	14.938	376.179146823386	210.216232647685
27	15	27.037	14.894	391.691154118958	209.541797547877
28	15	27.99	14.896	406.061809707164	209.593677170939
29	15	29.001	14.882	421.314418887425	209.386158678691
30	15	30.033	14.871	436.878305806059	209.230519809505
31	15	31.082	14.88	452.701590840004	209.334279055629
5	16	4.984	15.963	59.1427702908096	225.676360320195
6	16	5.941	15.952	73.5653055020772	225.520721451008
7	16	6.939	15.955	88.6103961900902	225.57260107407
8	16	7.972	15.94	104.226162731786	225.31320295876
9	16	9.041	15.928	120.308845881042	225.157564089573
10	16	9.958	15.934	134.160705238626	225.261323335698
11	16	10.949	15.912	149.102036680515	224.898165974263
12	16	12.073	15.965	166.066673421826	225.728239943257
13	16	13.054	15.968	180.852365994528	225.780119566319
14	16	14.005	15.94	195.171141959672	225.31320295876
15	16	14.969	15.943	209.697436417064	225.365082581822
16	16	16.009	15.924	225.416962204884	225.105684466511
17	16	16.987	15.957	240.150775154524	225.57260107407
18	16	17.993	15.938	255.299625088661	225.31320295876
19	16	18.996	15.9	270.448475022799	224.742527105077
20	16	20.061	15.879	286.479278548992	224.431249366704
21	16	20.982	15.915	300.383017529638	224.950045597325
22	16	22.02	15.879	316.050663694397	224.431249366704
23	16	23.103	15.959	332.392744958962	225.624480697132
24	16	24.067	15.961	346.919039416354	225.676360320195
25	16	25.042	15.934	361.600972742932	225.261323335698
26	16	26.006	15.922	376.127267200324	225.053804843449
27	16	27.041	15.898	391.74303374202	224.690647482014
28	16	27.99	15.928	406.061809707164	225.157564089573
29	16	29.03	15.926	421.729455871922	225.105684466511
30	16	30.033	15.898	436.878305806059	224.690647482014
31	16	31.085	15.869	452.753470463066	224.275610497517
5	17	4.984	16.951	59.1427702908096	240.565812139021
6	17	5.907	17.011	73.0983888945182	241.499645354139
7	17	6.945	16.961	88.7141554362144	240.721451008208
8	17	7.978	16.938	104.278042354849	240.358293646773
9	17	9.058	16.928	120.568243996352	240.254534400648
10	17	9.948	16.939	134.00506636944	240.410173269835
11	17	10.995	16.917	149.776471780322	240.0470159084
12	17	12.083	16.991	166.222312291012	241.188367615767
13	17	13.063	16.988	180.956125240653	241.136487992704
14	17	14.017	16.954	195.37866045192	240.617691762083
15	17	14.976	16.942	209.801195663188	240.410173269835
16	17	16.021	16.918	225.57260107407	240.098895531462
17	17	16.992	16.952	240.202654777586	240.565812139021
18	17	17.97	16.949	254.988347350289	240.565812139021
19	17	18.995	16.911	270.448475022799	239.995136285338
20	17	20.079	16.908	286.790556287364	239.943256662276
21	17	20.977	16.917	300.331137906576	240.0470159084
22	17	22.001	16.893	315.739385956024	239.735738170027
23	17	23.083	16.947	332.08146722059	240.513932515959
24	17	24.064	16.943	346.867159793292	240.462052892897
25	17	25.037	16.914	361.54909311987	239.995136285338
26	17	26.015	16.92	376.282906069511	240.098895531462
27	17	27.021	16.913	391.431756003648	239.995136285338
28	17	28	16.915	406.21744857635	240.0470159084
29	17	29.014	16.895	421.521937379674	239.735738170027
30	17	30.022	16.877	436.722666936873	239.476340054717
31	17	31.069	16.859	452.494072347756	239.216941939406
5	18	5.024	18.124	59.765325767555	258.256763603202
6	18	5.924	17.985	73.3059073867666	256.181578680717
7	18	6.952	17.969	88.8179146823386	255.922180565407
8	18	7.948	17.959	103.863005370352	255.76654169622
9	18	9.02	17.919	119.997568142669	255.143986219475
10	18	9.948	17.947	134.00506636944	255.610902827034
11	18	10.967	17.909	149.361434795825	255.040226973351
12	18	12.054	17.967	165.755395683453	255.922180565407
13	18	13.044	17.972	180.696727125342	255.974060188469
14	18	14.005	17.937	195.171141959672	255.455263957848
15	18	14.967	17.935	209.697436417064	255.403384334786
16	18	16.009	17.929	225.416962204884	255.351504711724
17	18	16.949	17.931	239.580099300841	255.351504711724
18	18	17.969	17.924	254.988347350289	255.247745465599
19	18	18.963	17.928	269.929678792178	255.299625088661
20	18	20.08	17.912	286.790556287364	255.040226973351
21	18	20.967	17.92	300.17549903739	255.195865842537
22	18	22	17.877	315.739385956024	254.52143074273
23	18	23.076	17.963	331.977707974465	255.818421319283
24	18	24.056	17.975	346.763400547168	256.025939811531
25	18	25.033	17.951	361.497213496808	255.662782450096
26	18	25.996	17.947	375.971628331138	255.610902827034
